input,output
"[S(p, d)] P(i, f) | S(m, k) | S(h, m) | S(k, b) | P(r, g) | S(j, l) | P(t, q) | S(p, h) | S(b, d)","[0, 1, 1, 1, 0, 0, 0, 1, 1]"
"[B(m, o)] B(u, h) | B(m, u) | P(j, a) | B(x, f) | B(h, o) | B(v, l)","[1, 1, 0, 0, 1, 0]"
"[P(h, e)] B(z, y) | P(d, s) | P(h, d) | P(s, x) | P(q, e) | P(x, q) | P(v, j)","[0, 1, 1, 1, 1, 1, 0]"
"[S(l, r)] S(z, i) | S(o, y) | P(f, x) | S(q, d) | S(c, w) | S(e, r) | S(w, e) | S(l, j) | S(j, c)","[0, 0, 0, 0, 1, 1, 1, 1, 1]"
"[S(x, d)] P(i, t) | S(y, q) | S(u, l) | S(q, d) | S(k, y) | S(c, g) | P(a, z) | S(x, k)","[0, 1, 0, 1, 1, 0, 0, 1]"
"[P(a, r)] B(k, n) | P(p, f) | P(f, u) | S(g, x) | S(j, c) | P(a, p) | P(u, r)","[0, 1, 1, 0, 0, 1, 1]"
"[P(l, f)] P(k, g) | B(w, e) | P(l, k) | P(t, b) | P(g, f)","[1, 0, 1, 0, 1]"
"[B(b, c)] B(i, t) | B(w, c) | S(r, g) | P(d, p) | B(y, v) | P(l, u) | B(q, i) | B(b, q) | B(t, w)","[1, 1, 0, 0, 0, 0, 1, 1, 1]"
"[S(g, c)] P(b, f) | S(n, q) | S(g, u) | B(i, z) | B(h, m) | S(u, n) | S(q, a) | S(a, c) | S(d, x)","[0, 1, 1, 0, 0, 1, 1, 1, 0]"
"[P(t, u)] P(z, u) | P(a, b) | B(o, h) | P(t, d) | S(k, c) | S(i, p) | P(d, y) | P(y, z)","[1, 0, 0, 1, 0, 0, 1, 1]"
"[P(q, m)] P(f, m) | P(o, p) | P(x, r) | P(j, t) | B(b, a) | P(q, x) | S(y, w) | P(r, f)","[1, 0, 1, 0, 0, 1, 0, 1]"
"[P(j, k)] P(r, g) | P(c, o) | P(x, y) | P(u, k) | P(o, u) | P(j, c)","[0, 1, 0, 1, 1, 1]"
"[B(p, s)] B(p, v) | S(u, f) | B(v, b) | B(x, c) | B(c, s) | B(o, n) | B(b, x) | B(m, w)","[1, 0, 1, 1, 1, 0, 1, 0]"
"[S(u, i)] S(b, g) | S(w, i) | B(z, m) | S(g, w) | P(x, a) | S(u, q) | P(v, p) | S(q, b) | B(d, j)","[1, 1, 0, 1, 0, 1, 0, 1, 0]"
"[B(t, b)] B(c, z) | B(i, j) | P(r, o) | B(a, i) | B(t, p) | B(j, b) | B(p, a)","[0, 1, 0, 1, 1, 1, 1]"
"[S(b, t)] S(p, l) | P(z, s) | P(x, a) | S(l, q) | S(b, g) | S(g, p) | S(q, t)","[1, 0, 0, 1, 1, 1, 1]"
"[S(t, n)] S(k, v) | B(b, w) | B(r, c) | S(j, n) | P(o, m) | S(t, k) | B(z, h) | S(v, j)","[1, 0, 0, 1, 0, 1, 0, 1]"
"[P(x, k)] P(x, v) | P(s, c) | P(g, u) | S(z, m) | P(b, i) | P(v, s) | B(d, h) | P(l, k) | P(c, l)","[1, 1, 0, 0, 0, 1, 0, 1, 1]"
"[S(w, a)] S(j, a) | P(t, l) | S(g, m) | S(c, g) | B(f, k) | S(p, i) | S(m, j) | S(w, c)","[1, 0, 1, 1, 0, 0, 1, 1]"
"[B(r, p)] B(r, x) | B(v, p) | B(x, v) | B(m, o) | S(e, i) | S(g, s) | S(b, l)","[1, 1, 1, 0, 0, 0, 0]"
"[S(b, n)] B(e, z) | S(o, x) | S(b, p) | S(p, o) | S(x, n) | P(d, c)","[0, 1, 1, 1, 1, 0]"
"[P(b, f)] P(c, x) | P(v, c) | P(b, v) | P(k, m) | P(x, f) | P(d, y)","[1, 1, 1, 0, 1, 0]"
"[B(h, v)] B(z, y) | B(h, z) | S(s, a) | P(x, p) | B(o, v) | B(y, o)","[1, 1, 0, 0, 1, 1]"
"[B(l, a)] S(d, m) | B(f, a) | B(t, f) | B(l, p) | P(r, q) | B(p, t)","[0, 1, 1, 1, 0, 1]"
"[S(m, j)] S(p, b) | S(h, r) | S(b, q) | P(s, k) | P(v, u) | S(m, p) | P(g, n) | S(q, j)","[1, 0, 1, 0, 0, 1, 0, 1]"
"[S(s, v)] B(g, k) | P(q, l) | S(i, u) | S(u, h) | S(s, i) | S(y, v) | S(h, y)","[0, 0, 1, 1, 1, 1, 1]"
"[B(w, h)] B(x, t) | B(n, h) | B(u, n) | S(j, d) | B(w, u)","[0, 1, 1, 0, 1]"
"[S(e, b)] S(d, g) | S(y, b) | P(v, z) | S(k, y) | S(i, k) | S(e, i)","[0, 1, 0, 1, 1, 1]"
"[B(u, s)] S(k, o) | B(r, y) | B(z, c) | B(x, m) | P(g, d) | B(m, s) | B(u, x)","[0, 0, 0, 1, 0, 1, 1]"
"[S(x, g)] B(w, n) | S(e, k) | B(l, a) | S(z, e) | B(t, m) | S(k, g) | S(x, z)","[0, 1, 0, 1, 0, 1, 1]"
"[S(z, f)] P(g, q) | S(k, i) | S(z, e) | S(i, f) | S(u, k) | P(b, r) | S(e, u)","[0, 1, 1, 1, 1, 0, 1]"
"[P(m, q)] P(v, l) | P(m, u) | P(k, q) | S(o, s) | P(u, k)","[0, 1, 1, 0, 1]"
"[S(v, p)] S(w, q) | S(c, p) | S(j, e) | S(v, u) | P(i, r) | S(u, c) | P(t, d)","[0, 1, 0, 1, 0, 1, 0]"
"[B(b, t)] B(u, m) | B(m, l) | B(f, x) | B(v, t) | B(w, j) | B(l, v) | P(z, c) | B(b, u)","[1, 1, 0, 1, 0, 1, 0, 1]"
"[S(k, o)] S(x, s) | S(k, d) | S(a, o) | B(t, v) | B(y, z) | S(d, a)","[0, 1, 1, 0, 0, 1]"
"[S(h, c)] S(g, c) | S(z, t) | S(r, g) | S(h, z) | P(v, u) | B(a, o) | S(t, r)","[1, 1, 1, 1, 0, 0, 1]"
"[B(y, j)] B(y, g) | B(g, u) | B(f, j) | P(d, l) | S(t, r) | B(u, f)","[1, 1, 1, 0, 0, 1]"
"[B(w, p)] B(w, i) | B(b, m) | P(f, c) | S(h, q) | B(m, s) | B(s, p) | B(i, b)","[1, 1, 0, 0, 1, 1, 1]"
"[S(u, j)] S(a, e) | S(h, j) | B(w, i) | S(t, c) | S(c, h) | S(u, t) | B(k, p)","[0, 1, 0, 1, 1, 1, 0]"
"[P(m, d)] P(v, w) | S(j, q) | P(t, d) | P(z, t) | S(s, i) | P(m, z)","[0, 0, 1, 1, 0, 1]"
"[B(r, c)] B(g, x) | B(e, k) | B(s, b) | P(f, n) | S(u, h) | B(b, e) | S(i, q) | B(k, c) | B(r, s)","[0, 1, 1, 0, 0, 1, 0, 1, 1]"
"[B(s, d)] B(v, g) | B(g, d) | P(r, q) | B(l, v) | B(s, l) | B(n, c)","[1, 1, 0, 1, 1, 0]"
"[B(s, a)] B(z, l) | B(h, i) | B(s, z) | P(x, w) | P(y, k) | B(l, r) | P(n, g) | B(r, a)","[1, 0, 1, 0, 0, 1, 0, 1]"
"[S(l, q)] P(a, f) | S(h, e) | S(m, q) | S(g, i) | B(y, x) | S(c, m) | S(l, c)","[0, 0, 1, 0, 0, 1, 1]"
"[B(g, c)] B(g, z) | B(x, v) | S(q, l) | B(f, o) | P(m, t) | B(o, c) | B(z, b) | B(b, f)","[1, 0, 0, 1, 0, 1, 1, 1]"
"[S(l, u)] S(b, p) | S(l, m) | S(a, u) | B(r, q) | S(m, f) | S(n, y) | S(f, a) | P(g, e)","[0, 1, 1, 0, 1, 0, 1, 0]"
"[S(h, t)] S(g, t) | S(h, q) | S(n, o) | S(q, a) | S(a, g) | S(k, y)","[1, 1, 0, 1, 1, 0]"
"[S(a, m)] S(y, m) | S(a, x) | S(h, w) | B(d, e) | S(x, y) | B(q, f) | S(n, g)","[1, 1, 0, 0, 1, 0, 0]"
"[P(q, n)] P(q, x) | S(y, z) | B(i, s) | P(x, b) | P(p, g) | P(w, n) | P(b, w)","[1, 0, 0, 1, 0, 1, 1]"
"[S(c, w)] S(g, z) | S(m, b) | S(e, g) | P(f, h) | S(q, i) | S(c, e) | S(z, w)","[1, 0, 1, 0, 0, 1, 1]"
"[P(z, i)] B(h, a) | P(t, w) | P(p, t) | B(j, o) | P(w, i) | B(f, x) | P(z, p) | P(u, k)","[0, 1, 1, 0, 1, 0, 1, 0]"
"[P(w, a)] P(i, a) | P(k, g) | S(c, e) | S(f, m) | P(w, k) | S(o, j) | P(g, i) | S(v, p)","[1, 1, 0, 0, 1, 0, 1, 0]"
"[B(v, c)] S(u, a) | B(e, d) | B(b, i) | B(d, c) | P(k, g) | B(v, r) | B(s, t) | B(r, e)","[0, 1, 0, 1, 0, 1, 0, 1]"
"[S(v, z)] S(j, y) | S(y, z) | B(k, o) | B(x, h) | S(v, j) | P(a, l) | P(t, u)","[1, 1, 0, 0, 1, 0, 0]"
"[S(z, v)] S(k, v) | S(h, d) | P(j, p) | S(w, k) | S(f, n) | S(z, w)","[1, 0, 0, 1, 0, 1]"
"[S(z, a)] S(z, s) | S(s, x) | P(w, g) | S(x, a) | B(m, k) | B(u, p)","[1, 1, 0, 1, 0, 0]"
"[B(t, v)] P(k, i) | B(f, b) | B(y, c) | B(l, e) | B(b, v) | B(t, l) | B(e, f) | B(r, a)","[0, 1, 0, 1, 1, 1, 1, 0]"
"[S(r, z)] S(b, s) | S(s, z) | P(u, a) | P(k, q) | S(p, h) | S(r, b)","[1, 1, 0, 0, 0, 1]"
"[B(u, w)] P(p, t) | B(d, v) | B(v, g) | B(c, w) | B(u, d) | P(e, a) | B(g, c) | S(q, o)","[0, 1, 1, 1, 1, 0, 1, 0]"
"[P(z, e)] S(p, g) | P(w, j) | P(r, y) | P(k, v) | S(x, o) | P(y, e) | P(z, r)","[0, 0, 1, 0, 0, 1, 1]"
"[B(s, h)] P(m, q) | S(w, r) | B(t, z) | P(y, n) | B(a, t) | B(z, e) | S(x, d) | B(s, a) | B(e, h)","[0, 0, 1, 0, 1, 1, 0, 1, 1]"
"[B(g, i)] B(e, t) | B(f, w) | S(v, r) | B(a, o) | P(m, b) | B(o, i) | B(w, a) | S(h, s) | B(g, f)","[0, 1, 0, 1, 0, 1, 1, 0, 1]"
"[B(r, g)] S(u, n) | P(k, b) | S(o, x) | B(r, v) | B(v, h) | B(t, g) | B(h, t) | B(l, y)","[0, 0, 0, 1, 1, 1, 1, 0]"
"[B(j, n)] B(a, u) | B(u, d) | B(h, l) | B(j, s) | S(b, t) | P(m, z) | B(s, a) | B(o, c) | B(d, n)","[1, 1, 0, 1, 0, 0, 1, 0, 1]"
"[P(c, f)] B(o, j) | B(y, e) | P(m, f) | P(c, s) | P(t, m) | P(s, h) | P(h, t)","[0, 0, 1, 1, 1, 1, 1]"
"[B(a, w)] B(a, v) | S(d, l) | B(u, w) | B(v, q) | B(q, p) | B(s, j) | B(p, u) | B(b, t) | S(c, m)","[1, 0, 1, 1, 1, 0, 1, 0, 0]"
"[S(f, d)] S(p, r) | B(z, x) | B(o, k) | S(r, d) | S(f, i) | S(i, p)","[1, 0, 0, 1, 1, 1]"
"[S(e, g)] S(e, u) | S(z, w) | P(j, m) | S(u, d) | S(d, g)","[1, 0, 0, 1, 1]"
"[P(r, w)] P(r, f) | P(f, t) | P(t, o) | P(e, k) | B(j, x) | P(o, w) | P(c, m)","[1, 1, 1, 0, 0, 1, 0]"
"[P(z, m)] P(b, t) | P(h, m) | P(y, h) | P(z, y) | S(q, e) | S(w, j)","[0, 1, 1, 1, 0, 0]"
"[P(h, i)] B(e, f) | P(j, i) | P(p, j) | S(y, l) | B(u, q) | P(h, p)","[0, 1, 1, 0, 0, 1]"
"[P(m, w)] S(d, l) | P(c, t) | P(m, y) | S(n, a) | P(k, f) | P(f, w) | P(y, k)","[0, 0, 1, 0, 1, 1, 1]"
"[P(d, y)] P(k, j) | P(q, r) | P(d, k) | P(j, e) | P(e, y) | P(b, h)","[1, 0, 1, 1, 1, 0]"
"[B(j, a)] B(u, c) | P(m, g) | P(s, f) | P(d, k) | B(r, a) | B(n, r) | B(j, n)","[0, 0, 0, 0, 1, 1, 1]"
"[P(n, k)] P(j, h) | P(e, f) | P(f, s) | S(z, p) | P(w, m) | B(q, o) | P(s, k) | P(a, e) | P(n, a)","[0, 1, 1, 0, 0, 0, 1, 1, 1]"
"[P(e, p)] P(j, s) | B(f, a) | P(t, r) | P(s, p) | P(e, j) | S(l, g)","[1, 0, 0, 1, 1, 0]"
"[B(g, v)] B(h, o) | P(k, m) | B(g, a) | S(i, w) | B(c, v) | B(a, c)","[0, 0, 1, 0, 1, 1]"
"[P(l, f)] S(o, q) | P(d, f) | P(c, d) | P(l, j) | P(e, n) | S(y, r) | P(h, t) | P(j, g) | P(g, c)","[0, 1, 1, 1, 0, 0, 0, 1, 1]"
"[S(t, a)] B(u, k) | S(s, n) | S(z, a) | S(t, e) | S(e, z)","[0, 0, 1, 1, 1]"
"[B(g, l)] B(t, u) | B(a, d) | B(f, n) | B(g, a) | B(i, q) | B(q, l) | S(z, h) | B(d, i)","[0, 1, 0, 1, 1, 1, 0, 1]"
"[S(e, j)] S(w, x) | S(b, t) | S(e, p) | S(p, b) | S(g, j) | S(t, g) | B(c, a)","[0, 1, 1, 1, 1, 1, 0]"
"[P(b, x)] S(m, o) | P(e, f) | P(f, c) | B(i, n) | P(j, x) | P(c, j) | P(b, e)","[0, 1, 1, 0, 1, 1, 1]"
"[P(r, a)] P(u, a) | P(r, e) | P(e, y) | P(g, w) | B(x, i) | S(o, c) | P(y, u)","[1, 1, 1, 0, 0, 0, 1]"
"[P(p, w)] S(a, h) | P(n, w) | P(k, x) | S(y, s) | P(p, m) | B(b, l) | P(m, n)","[0, 1, 0, 0, 1, 0, 1]"
"[S(x, z)] S(m, z) | S(a, v) | S(w, l) | S(p, t) | P(i, s) | S(f, m) | S(x, k) | S(k, f)","[1, 0, 0, 0, 0, 1, 1, 1]"
"[S(m, h)] S(r, f) | S(m, r) | B(t, a) | S(g, s) | P(i, q) | S(x, h) | S(j, x) | S(f, j)","[1, 1, 0, 0, 0, 1, 1, 1]"
"[S(y, m)] S(n, u) | B(x, t) | P(g, k) | P(q, w) | S(l, n) | S(y, r) | S(u, m) | S(r, l) | P(z, h)","[1, 0, 0, 0, 1, 1, 1, 1, 0]"
"[B(c, h)] B(c, w) | B(z, y) | B(y, h) | S(d, q) | B(w, z) | B(a, f) | B(b, v)","[1, 1, 1, 0, 1, 0, 0]"
"[S(e, q)] S(i, t) | S(e, d) | S(o, q) | P(r, b) | P(a, f) | S(w, o) | S(h, w) | S(d, h)","[0, 1, 1, 0, 0, 1, 1, 1]"
"[B(e, k)] B(h, k) | B(a, g) | B(q, h) | P(b, n) | B(e, i) | P(f, r) | S(d, p) | B(i, q)","[1, 0, 1, 0, 1, 0, 0, 1]"
"[S(i, s)] P(j, y) | S(n, r) | S(p, s) | S(i, t) | S(t, p)","[0, 0, 1, 1, 1]"
"[S(r, w)] P(l, g) | S(i, w) | S(x, i) | S(r, x) | B(c, s)","[0, 1, 1, 1, 0]"
"[S(b, s)] B(w, r) | S(y, k) | S(k, s) | S(b, y) | B(f, l)","[0, 1, 1, 1, 0]"
"[S(z, u)] S(o, u) | S(c, p) | S(h, o) | P(x, i) | S(t, s) | S(z, h)","[1, 0, 1, 0, 0, 1]"
"[B(i, t)] B(g, q) | S(o, z) | P(y, b) | B(n, t) | B(p, f) | B(h, s) | B(i, h) | B(s, n)","[0, 0, 0, 1, 0, 1, 1, 1]"
"[P(c, g)] P(b, m) | P(s, o) | B(w, r) | P(a, s) | P(u, a) | P(c, u) | B(j, q) | P(o, g) | S(p, t)","[0, 1, 0, 1, 1, 1, 0, 1, 0]"
"[S(h, p)] S(y, d) | S(d, p) | P(c, u) | S(e, y) | B(a, l) | B(i, g) | S(h, e) | P(r, s)","[1, 1, 0, 1, 0, 0, 1, 0]"
"[B(x, f)] S(d, g) | B(i, f) | B(r, i) | B(e, r) | S(p, j) | B(h, z) | B(t, e) | B(x, t) | S(y, c)","[0, 1, 1, 1, 0, 0, 1, 1, 0]"
"[S(f, v)] S(k, s) | S(s, v) | B(b, a) | B(l, w) | S(f, h) | S(y, k) | S(h, y) | S(j, r) | S(n, u)","[1, 1, 0, 0, 1, 1, 1, 0, 0]"
"[S(x, t)] B(m, g) | S(j, f) | S(x, j) | S(u, n) | P(z, p) | S(f, t)","[0, 1, 1, 0, 0, 1]"
"[B(b, j)] B(a, v) | B(z, x) | B(b, q) | B(q, a) | S(m, n) | B(v, j)","[1, 0, 1, 1, 0, 1]"
"[B(y, n)] B(a, c) | B(c, n) | S(z, w) | P(t, j) | P(x, g) | B(o, a) | B(y, e) | B(e, o)","[1, 1, 0, 0, 0, 1, 1, 1]"
"[B(o, c)] B(j, l) | B(z, j) | B(l, c) | B(h, s) | B(o, z) | P(k, u) | P(p, v) | P(w, y)","[1, 1, 1, 0, 1, 0, 0, 0]"
"[B(o, h)] B(u, r) | P(i, m) | S(x, d) | B(o, u) | P(j, y) | P(s, t) | B(r, h)","[1, 0, 0, 1, 0, 0, 1]"
"[B(a, j)] B(c, o) | B(a, l) | B(e, x) | S(u, i) | B(l, p) | B(p, j)","[0, 1, 0, 0, 1, 1]"
"[P(w, m)] S(c, i) | S(v, b) | B(z, u) | B(s, y) | P(w, h) | P(h, t) | P(t, m)","[0, 0, 0, 0, 1, 1, 1]"
"[P(b, a)] P(s, c) | B(r, z) | S(k, g) | S(x, y) | P(c, a) | P(b, s)","[1, 0, 0, 0, 1, 1]"
"[P(i, u)] P(g, k) | B(z, v) | P(y, u) | P(l, p) | P(d, l) | P(i, d) | B(e, s) | P(p, y)","[0, 0, 1, 1, 1, 1, 0, 1]"
"[S(h, k)] P(i, b) | S(y, k) | S(e, y) | S(o, e) | S(h, o) | S(d, x) | P(j, z)","[0, 1, 1, 1, 1, 0, 0]"
"[S(z, m)] S(k, b) | S(a, m) | S(y, v) | B(f, t) | B(i, n) | S(z, k) | S(b, a)","[1, 1, 0, 0, 0, 1, 1]"
"[B(o, t)] B(u, f) | S(i, g) | B(f, v) | P(k, h) | B(c, y) | B(v, t) | S(b, p) | B(o, u)","[1, 0, 1, 0, 0, 1, 0, 1]"
"[B(b, w)] S(a, g) | B(o, w) | P(q, y) | S(z, h) | B(b, v) | P(m, c) | B(v, j) | B(j, o)","[0, 1, 0, 0, 1, 0, 1, 1]"
"[B(j, o)] B(x, m) | B(m, o) | B(h, x) | B(c, h) | P(s, g) | S(k, p) | B(j, c)","[1, 1, 1, 1, 0, 0, 1]"
"[B(m, j)] S(p, b) | B(s, w) | S(n, i) | B(y, j) | B(m, s) | B(w, y) | S(a, d)","[0, 1, 0, 1, 1, 1, 0]"
"[S(o, l)] S(e, r) | S(o, e) | B(v, m) | B(u, z) | S(f, b) | S(r, f) | S(b, l) | P(x, y)","[1, 1, 0, 0, 1, 1, 1, 0]"
"[S(i, g)] S(l, z) | S(a, l) | S(f, a) | S(h, u) | B(b, j) | P(s, n) | S(z, g) | S(i, f) | P(e, r)","[1, 1, 1, 0, 0, 0, 1, 1, 0]"
"[P(z, p)] P(x, p) | B(y, v) | P(i, t) | P(o, l) | S(w, a) | P(l, c) | P(j, u) | P(z, o) | P(c, x)","[1, 0, 0, 1, 0, 1, 0, 1, 1]"
"[S(r, e)] S(z, e) | S(y, z) | S(x, y) | S(r, k) | P(m, s) | S(p, i) | S(k, x)","[1, 1, 1, 1, 0, 0, 1]"
"[S(h, b)] S(d, f) | B(o, y) | S(j, p) | P(k, q) | S(s, b) | S(x, v) | S(h, j) | S(p, s)","[0, 0, 1, 0, 1, 0, 1, 1]"
"[S(f, k)] S(v, y) | S(f, i) | B(a, r) | S(i, p) | S(z, g) | P(n, l) | S(p, o) | S(o, k)","[0, 1, 0, 1, 0, 0, 1, 1]"
"[S(k, m)] S(t, a) | B(e, c) | P(q, o) | S(i, m) | S(h, i) | S(k, t) | S(a, h)","[1, 0, 0, 1, 1, 1, 1]"
"[P(v, h)] B(x, z) | P(v, y) | P(t, i) | S(m, f) | P(s, b) | P(w, l) | P(y, u) | P(u, s) | P(b, h)","[0, 1, 0, 0, 1, 0, 1, 1, 1]"
"[S(c, n)] S(o, n) | S(q, i) | S(w, j) | S(j, o) | P(b, f) | S(c, w)","[1, 0, 1, 1, 0, 1]"
"[P(j, o)] S(q, p) | P(a, k) | P(z, x) | P(x, a) | P(j, z) | S(c, u) | P(k, o)","[0, 1, 1, 1, 1, 0, 1]"
"[P(q, j)] B(l, w) | P(x, m) | B(i, o) | P(e, j) | B(g, z) | B(r, b) | P(p, e) | P(q, x) | P(m, p)","[0, 1, 0, 1, 0, 0, 1, 1, 1]"
"[P(p, x)] S(i, h) | B(j, f) | S(r, k) | P(p, w) | S(c, q) | P(w, v) | P(v, x)","[0, 0, 0, 1, 0, 1, 1]"
"[S(r, p)] S(v, p) | S(y, j) | B(b, o) | S(r, y) | B(x, k) | S(q, u) | S(j, v) | B(m, n)","[1, 1, 0, 1, 0, 0, 1, 0]"
"[P(m, c)] P(o, e) | P(x, q) | P(q, c) | P(m, x) | P(g, y)","[0, 1, 1, 1, 0]"
"[B(h, i)] B(z, p) | B(h, t) | P(f, d) | B(p, u) | P(c, e) | B(u, i) | B(t, z)","[1, 1, 0, 1, 0, 1, 1]"
"[P(g, c)] P(h, a) | P(g, i) | P(f, h) | B(t, o) | P(a, c) | B(q, j) | P(y, r) | P(i, f) | S(m, k)","[1, 1, 1, 0, 1, 0, 0, 1, 0]"
"[B(i, s)] S(w, c) | S(x, e) | B(i, d) | B(z, b) | B(a, s) | B(d, a) | P(r, m)","[0, 0, 1, 0, 1, 1, 0]"
"[S(d, p)] S(i, p) | P(l, r) | S(m, f) | S(u, k) | S(q, n) | S(d, m) | S(f, i)","[1, 0, 1, 0, 0, 1, 1]"
"[S(t, u)] S(i, j) | S(n, g) | S(g, u) | S(t, o) | S(o, c) | S(c, n) | B(l, x)","[0, 1, 1, 1, 1, 1, 0]"
"[B(v, j)] B(z, a) | S(t, n) | B(a, j) | P(k, b) | B(v, z) | S(y, i)","[1, 0, 1, 0, 1, 0]"
"[P(c, q)] B(r, o) | B(n, d) | P(z, h) | P(c, w) | P(y, q) | P(t, y) | P(w, t)","[0, 0, 0, 1, 1, 1, 1]"
"[B(m, u)] B(m, c) | P(i, k) | B(c, n) | P(a, w) | B(t, u) | B(n, t)","[1, 0, 1, 0, 1, 1]"
"[S(t, q)] P(p, i) | S(t, r) | B(w, b) | P(d, h) | S(e, q) | S(r, e) | S(n, a)","[0, 1, 0, 0, 1, 1, 0]"
"[P(s, p)] S(y, x) | P(v, p) | P(d, t) | P(s, c) | P(h, g) | P(c, v) | P(j, i)","[0, 1, 0, 1, 0, 1, 0]"
"[P(l, m)] B(g, p) | P(c, e) | P(l, a) | P(a, o) | B(b, w) | P(o, m)","[0, 0, 1, 1, 0, 1]"
"[P(m, h)] P(a, w) | P(d, n) | P(n, h) | S(c, s) | P(m, d) | B(q, t)","[0, 1, 1, 0, 1, 0]"
"[S(x, b)] S(q, y) | S(u, h) | S(x, u) | B(d, g) | S(h, b) | B(w, l) | S(r, o)","[0, 1, 1, 0, 1, 0, 0]"
"[S(b, i)] B(k, d) | B(j, v) | S(e, y) | S(r, q) | S(p, i) | P(o, s) | S(b, n) | S(n, r) | S(q, p)","[0, 0, 0, 1, 1, 0, 1, 1, 1]"
"[S(n, b)] S(q, b) | S(n, v) | P(e, j) | S(v, q) | B(f, t)","[1, 1, 0, 1, 0]"
"[B(r, i)] S(x, f) | B(j, i) | P(z, w) | B(l, j) | B(d, e) | B(g, h) | B(r, l)","[0, 1, 0, 1, 0, 0, 1]"
"[S(u, b)] S(n, c) | S(u, j) | S(c, b) | B(k, z) | S(j, l) | S(o, f) | S(l, n)","[1, 1, 1, 0, 1, 0, 1]"
"[P(p, d)] S(r, m) | B(j, s) | P(h, q) | P(u, d) | S(e, n) | S(b, t) | P(q, u) | P(p, h)","[0, 0, 1, 1, 0, 0, 1, 1]"
"[S(e, p)] S(z, g) | S(v, r) | P(l, x) | S(a, c) | S(c, p) | P(o, n) | S(e, a)","[0, 0, 0, 1, 1, 0, 1]"
"[S(q, f)] S(p, t) | S(i, f) | S(q, m) | P(e, v) | S(m, i) | P(n, s) | S(g, b)","[0, 1, 1, 0, 1, 0, 0]"
"[S(o, j)] S(f, x) | B(m, w) | B(e, h) | S(o, n) | S(c, j) | S(n, c) | S(g, d)","[0, 0, 0, 1, 1, 1, 0]"
"[P(v, s)] S(t, f) | P(a, m) | P(o, a) | P(r, w) | P(c, y) | P(v, o) | P(g, s) | P(m, g)","[0, 1, 1, 0, 0, 1, 1, 1]"
"[S(v, y)] P(l, f) | S(m, x) | P(b, h) | S(x, d) | S(v, m) | P(r, z) | S(d, y)","[0, 1, 0, 1, 1, 0, 1]"
"[P(c, d)] P(o, z) | P(j, y) | B(s, e) | P(c, j) | S(u, i) | P(y, d)","[0, 1, 0, 1, 0, 1]"
"[B(w, j)] S(n, a) | B(b, j) | B(y, e) | B(w, y) | B(p, g) | B(e, b)","[0, 1, 1, 1, 0, 1]"
"[S(c, h)] S(g, h) | S(r, g) | P(p, z) | S(c, r) | S(x, i)","[1, 1, 0, 1, 0]"
"[S(y, w)] S(y, l) | S(p, i) | B(j, m) | S(k, o) | S(f, c) | S(c, w) | S(l, f)","[1, 0, 0, 0, 1, 1, 1]"
"[P(q, k)] P(r, o) | P(l, e) | S(m, n) | B(p, w) | B(u, h) | P(g, x) | P(e, r) | P(q, l) | P(o, k)","[1, 1, 0, 0, 0, 0, 1, 1, 1]"
"[S(i, s)] S(c, w) | S(i, u) | S(t, a) | S(a, s) | S(m, t) | S(u, m) | P(v, o) | B(h, q)","[0, 1, 1, 1, 1, 1, 0, 0]"
"[S(g, d)] B(e, l) | B(h, b) | S(f, d) | S(o, v) | S(g, y) | S(y, f)","[0, 0, 1, 0, 1, 1]"
"[P(f, l)] P(a, s) | P(f, z) | S(r, t) | P(s, l) | P(z, a) | S(h, v)","[1, 1, 0, 1, 1, 0]"
"[B(o, z)] B(a, g) | P(e, m) | B(o, v) | B(v, a) | B(g, z) | S(f, x) | P(w, n) | S(j, k)","[1, 0, 1, 1, 1, 0, 0, 0]"
"[S(f, o)] S(c, k) | S(q, o) | P(l, e) | S(n, a) | S(v, q) | S(f, v)","[0, 1, 0, 0, 1, 1]"
"[S(j, k)] S(q, x) | S(v, k) | P(p, s) | S(z, b) | B(i, u) | S(x, v) | S(t, q) | S(j, t)","[1, 1, 0, 0, 0, 1, 1, 1]"
"[S(d, f)] P(q, b) | S(h, f) | S(n, h) | B(a, o) | B(t, u) | S(w, c) | S(d, n)","[0, 1, 1, 0, 0, 0, 1]"
"[P(f, p)] P(z, p) | P(w, x) | P(t, z) | P(x, t) | B(h, r) | S(u, b) | P(f, w)","[1, 1, 1, 1, 0, 0, 1]"
"[B(m, z)] B(v, h) | B(g, z) | P(i, n) | P(o, j) | B(e, v) | B(m, e) | B(h, g)","[1, 1, 0, 0, 1, 1, 1]"
"[S(w, f)] P(c, p) | S(o, d) | S(b, x) | S(d, b) | S(x, f) | B(m, z) | S(i, t) | S(w, o)","[0, 1, 1, 1, 1, 0, 0, 1]"
"[P(m, b)] P(y, v) | P(m, i) | P(s, p) | P(g, r) | P(i, d) | P(d, b)","[0, 1, 0, 0, 1, 1]"
"[S(e, y)] S(j, z) | B(w, n) | S(l, u) | S(u, y) | S(g, l) | S(f, q) | S(e, g)","[0, 0, 1, 1, 1, 0, 1]"
"[P(f, r)] P(z, x) | P(f, z) | B(p, q) | S(c, g) | P(x, r)","[1, 1, 0, 0, 1]"
